Date,Streamer,Viewers
3/1/2013,Riot Games,311793
10/1/2013,Riot Games,348329
1/1/2014,Riot Games,483782
5/1/2014,Riot Games,765363
10/1/2014,Riot Games,1192625
1/1/2015,Riot Games,1233711
5/1/2015,Riot Games,1874302
10/1/2015,Riot Games,1922532
1/1/2016,Riot Games,2052788
5/1/2016,Riot Games,2223311
10/1/2016,Riot Games,2289735
1/1/2017,Riot Games,2365642
5/1/2017,Riot Games,2350487
10/1/2017,Riot Games,2475584
1/1/2018,Riot Games,2655561
5/1/2018,Riot Games,2897123
10/1/2018,Riot Games,3112648
1/1/2019,Riot Games,3305124
5/1/2019,Riot Games,3506338
3/1/2013,PhantomL0rd,247568
10/1/2013,PhantomL0rd,279918
1/1/2014,PhantomL0rd,405889
5/1/2014,PhantomL0rd,489255
10/1/2014,PhantomL0rd,586932
1/1/2015,PhantomL0rd,685244
5/1/2015,PhantomL0rd,940868
10/1/2015,PhantomL0rd,1149091
1/1/2016,PhantomL0rd,1229569
5/1/2016,PhantomL0rd,1271751
10/1/2016,PhantomL0rd,1399224
1/1/2017,PhantomL0rd,1402174
5/1/2017,PhantomL0rd,1406129
10/1/2017,PhantomL0rd,1411045
1/1/2018,PhantomL0rd,1414037
5/1/2018,PhantomL0rd,
10/1/2018,PhantomL0rd,
1/1/2019,PhantomL0rd,
5/1/2019,PhantomL0rd,
3/1/2013,Dyrus,239437
10/1/2013,Dyrus,270706
1/1/2014,Dyrus,347099
5/1/2014,Dyrus,453612
10/1/2014,Dyrus,543812
1/1/2015,Dyrus,629268
5/1/2015,Dyrus,700659
10/1/2015,Dyrus,
1/1/2016,Dyrus,921672
5/1/2016,Dyrus,1016799
10/1/2016,Dyrus,1130666
1/1/2017,Dyrus,1185846
5/1/2017,Dyrus,1249941
10/1/2017,Dyrus,1343981
1/1/2018,Dyrus,1395897
5/1/2018,Dyrus,
10/1/2018,Dyrus,
1/1/2019,Dyrus,
5/1/2019,Dyrus,
3/1/2013,TSM_TheOddOne,184991
10/1/2013,TSM_TheOddOne,210083
1/1/2014,TSM_TheOddOne,294180
5/1/2014,TSM_TheOddOne,419311
10/1/2014,TSM_TheOddOne,602123
1/1/2015,TSM_TheOddOne,681342
5/1/2015,TSM_TheOddOne,786263
10/1/2015,TSM_TheOddOne,862544
1/1/2016,TSM_TheOddOne,
5/1/2016,TSM_TheOddOne,
10/1/2016,TSM_TheOddOne,
1/1/2017,TSM_TheOddOne,
5/1/2017,TSM_TheOddOne,
10/1/2017,TSM_TheOddOne,
1/1/2018,TSM_TheOddOne,
5/1/2018,TSM_TheOddOne,
10/1/2018,TSM_TheOddOne,
1/1/2019,TSM_TheOddOne,
5/1/2019,TSM_TheOddOne,
3/1/2013,SivHD,182399
10/1/2013,SivHD,206268
1/1/2014,SivHD,271678
5/1/2014,SivHD,349505
10/1/2014,SivHD,460385
1/1/2015,SivHD,575836
5/1/2015,SivHD,738278
10/1/2015,SivHD,852494
1/1/2016,SivHD,902203
5/1/2016,SivHD,
10/1/2016,SivHD,
1/1/2017,SivHD,
5/1/2017,SivHD,
10/1/2017,SivHD,
1/1/2018,SivHD,
5/1/2018,SivHD,
10/1/2018,SivHD,
1/1/2019,SivHD,
5/1/2019,SivHD,
3/1/2013,CaptainSparklez,136861
10/1/2013,CaptainSparklez,154795
1/1/2014,CaptainSparklez,215700
5/1/2014,CaptainSparklez,317901
10/1/2014,CaptainSparklez,745315
1/1/2015,CaptainSparklez,847925
5/1/2015,CaptainSparklez,1132824
10/1/2015,CaptainSparklez,1231996
1/1/2016,CaptainSparklez,1269269
5/1/2016,CaptainSparklez,1294540
10/1/2016,CaptainSparklez,1299819
1/1/2017,CaptainSparklez,1297169
5/1/2017,CaptainSparklez,1269262
10/1/2017,CaptainSparklez,
1/1/2018,CaptainSparklez,
5/1/2018,CaptainSparklez,
10/1/2018,CaptainSparklez,
1/1/2019,CaptainSparklez,
5/1/2019,CaptainSparklez,
3/1/2013,sodapoppin,132702
10/1/2013,sodapoppin,149238
1/1/2014,sodapoppin,197257
5/1/2014,sodapoppin,283455
10/1/2014,sodapoppin,482784
1/1/2015,sodapoppin,608718
5/1/2015,sodapoppin,819706
10/1/2015,sodapoppin,1071461
1/1/2016,sodapoppin,1141743
5/1/2016,sodapoppin,1209690
10/1/2016,sodapoppin,1334732
1/1/2017,sodapoppin,1375410
5/1/2017,sodapoppin,1435196
10/1/2017,sodapoppin,1575778
1/1/2018,sodapoppin,1686815
5/1/2018,sodapoppin,1910311
10/1/2018,sodapoppin,
1/1/2019,sodapoppin,
5/1/2019,sodapoppin,
3/1/2013,Syndicate,
10/1/2013,Syndicate,
1/1/2014,Syndicate,255647
5/1/2014,Syndicate,548188
10/1/2014,Syndicate,1249122
1/1/2015,Syndicate,1424874
5/1/2015,Syndicate,1874302
10/1/2015,Syndicate,2071718
1/1/2016,Syndicate,2350281
5/1/2016,Syndicate,2441470
10/1/2016,Syndicate,2458555
1/1/2017,Syndicate,2459555
5/1/2017,Syndicate,2435937
10/1/2017,Syndicate,2462889
1/1/2018,Syndicate,2517523
5/1/2018,Syndicate,2560588
10/1/2018,Syndicate,2613581
1/1/2019,Syndicate,2677099
5/1/2019,Syndicate,2695805
3/1/2013,Trick2g,
10/1/2013,Trick2g,
1/1/2014,Trick2g,218638
5/1/2014,Trick2g,359076
10/1/2014,Trick2g,532469
1/1/2015,Trick2g,623377
5/1/2015,Trick2g,747234
10/1/2015,Trick2g,856688
1/1/2016,Trick2g,898300
5/1/2016,Trick2g,986404
10/1/2016,Trick2g,
1/1/2017,Trick2g,
5/1/2017,Trick2g,
10/1/2017,Trick2g,
1/1/2018,Trick2g,
5/1/2018,Trick2g,
10/1/2018,Trick2g,
1/1/2019,Trick2g,
5/1/2019,Trick2g,
3/1/2013,TSM_Bjergsen,
10/1/2013,TSM_Bjergsen,
1/1/2014,TSM_Bjergsen,
5/1/2014,TSM_Bjergsen,346103
10/1/2014,TSM_Bjergsen,546576
1/1/2015,TSM_Bjergsen,684116
5/1/2015,TSM_Bjergsen,810556
10/1/2015,TSM_Bjergsen,925642
1/1/2016,TSM_Bjergsen,1017130
5/1/2016,TSM_Bjergsen,1089681
10/1/2016,TSM_Bjergsen,1197106
1/1/2017,TSM_Bjergsen,1261498
5/1/2017,TSM_Bjergsen,1299931
10/1/2017,TSM_Bjergsen,1360578
1/1/2018,TSM_Bjergsen,1413102
5/1/2018,TSM_Bjergsen,
10/1/2018,TSM_Bjergsen,
1/1/2019,TSM_Bjergsen,
5/1/2019,TSM_Bjergsen,
3/1/2013,GoldGlove,
10/1/2013,GoldGlove,
1/1/2014,GoldGlove,
5/1/2014,GoldGlove,277768
10/1/2014,GoldGlove,472023
1/1/2015,GoldGlove,577455
5/1/2015,GoldGlove,779830
10/1/2015,GoldGlove,1005596
1/1/2016,GoldGlove,1053942
5/1/2016,GoldGlove,1107235
10/1/2016,GoldGlove,1170882
1/1/2017,GoldGlove,1191958
5/1/2017,GoldGlove,1217280
10/1/2017,GoldGlove,
1/1/2018,GoldGlove,
5/1/2018,GoldGlove,
10/1/2018,GoldGlove,
1/1/2019,GoldGlove,
5/1/2019,GoldGlove,
3/1/2013,LIRIK,
10/1/2013,LIRIK,
1/1/2014,LIRIK,
5/1/2014,LIRIK,
10/1/2014,LIRIK,498082
1/1/2015,LIRIK,630057
5/1/2015,LIRIK,880833
10/1/2015,LIRIK,1153180
1/1/2016,LIRIK,1229005
5/1/2016,LIRIK,1348044
10/1/2016,LIRIK,1491129
1/1/2017,LIRIK,1550388
5/1/2017,LIRIK,1655193
10/1/2017,LIRIK,1822414
1/1/2018,LIRIK,1966779
5/1/2018,LIRIK,2088751
10/1/2018,LIRIK,
1/1/2019,LIRIK,
5/1/2019,LIRIK,
3/1/2013,summit1g,
10/1/2013,summit1g,
1/1/2014,summit1g,
5/1/2014,summit1g,
10/1/2014,summit1g,395997
1/1/2015,summit1g,519500
5/1/2015,summit1g,800938
10/1/2015,summit1g,1086566
1/1/2016,summit1g,1231070
5/1/2016,summit1g,1381582
10/1/2016,summit1g,1572861
1/1/2017,summit1g,1698999
5/1/2017,summit1g,1973854
10/1/2017,summit1g,2301455
1/1/2018,summit1g,2570491
5/1/2018,summit1g,3117404
10/1/2018,summit1g,3286193
1/1/2019,summit1g,3435218
5/1/2019,summit1g,3749929
3/1/2013,Nightblue3,
10/1/2013,Nightblue3,
1/1/2014,Nightblue3,
5/1/2014,Nightblue3,
10/1/2014,Nightblue3,626619
1/1/2015,Nightblue3,693840
5/1/2015,Nightblue3,851923
10/1/2015,Nightblue3,1049355
1/1/2016,Nightblue3,1162326
5/1/2016,Nightblue3,1327120
10/1/2016,Nightblue3,1634346
1/1/2017,Nightblue3,1763123
5/1/2017,Nightblue3,1871371
10/1/2017,Nightblue3,2053370
1/1/2018,Nightblue3,2115742
5/1/2018,Nightblue3,2218086
10/1/2018,Nightblue3,2289900
1/1/2019,Nightblue3,
5/1/2019,Nightblue3,
3/1/2013,imaqtpie,
10/1/2013,imaqtpie,
1/1/2014,imaqtpie,
5/1/2014,imaqtpie,
10/1/2014,imaqtpie,
1/1/2015,imaqtpie,521395
5/1/2015,imaqtpie,763426
10/1/2015,imaqtpie,900887
1/1/2016,imaqtpie,996331
5/1/2016,imaqtpie,1173579
10/1/2016,imaqtpie,1397476
1/1/2017,imaqtpie,1537430
5/1/2017,imaqtpie,1681066
10/1/2017,imaqtpie,1913681
1/1/2018,imaqtpie,2088325
5/1/2018,imaqtpie,2271853
10/1/2018,imaqtpie,2406151
1/1/2019,imaqtpie,2560043
5/1/2019,imaqtpie,2514499
3/1/2013,ESL_CSGO,
10/1/2013,ESL_CSGO,
1/1/2014,ESL_CSGO,
5/1/2014,ESL_CSGO,
10/1/2014,ESL_CSGO,
1/1/2015,ESL_CSGO,
5/1/2015,ESL_CSGO,
10/1/2015,ESL_CSGO,1120019
1/1/2016,ESL_CSGO,1215595
5/1/2016,ESL_CSGO,1453785
10/1/2016,ESL_CSGO,1749545
1/1/2017,ESL_CSGO,1816526
5/1/2017,ESL_CSGO,1926258
10/1/2017,ESL_CSGO,2200138
1/1/2018,ESL_CSGO,2267422
5/1/2018,ESL_CSGO,2418860
10/1/2018,ESL_CSGO,2476189
1/1/2019,ESL_CSGO,2539850
5/1/2019,ESL_CSGO,2902919
